Esas No,Tarih,İl,Milletvekili,Muhatap Bakanlık,Durum,Önerge Özeti
7 / 33596,04.09.2025,Uşak,Ali KARAOBA,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Ulubey Kanyonu'nda gerçekleştirilmesi planlanan sıcak hava balonu projesine ilişkin
7 / 18236,16.10.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Antalya Yüksek Güvenlikli Kapalı Cezaevinde yaşandığı iddia edilen hak ihlallerine ilişkin
7 / 40845,06.02.2026,Diyarbakır,Mustafa Sezgin TANRIKULU,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Motosikletli kuryelik için yaş sınırının 69'a çıkarılmasına ilişkin
7 / 21633,07.01.2025,İzmir,Mahir POLAT,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,TRT'nin dijital platformuna ilişkin
7 / 38922,08.01.2026,Artvin,Uğur BAYRAKTUTAN,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Artvin'de yürütülen sağlık hizmetlerinin iyileştirilmesine ilişkin
7 / 4759,28.09.2023,İstanbul,Çiçek OTLU,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir mesleki eğitim merkezi öğrencisinin ölümü ile bu öğrencilerin sorunlarına ilişkin
7 / 30909,17.07.2025,Aydın,Süleyman BÜLBÜL,Adalet Bakanlığı,Cevaplandı,Bireysel kredi ve kredi kartı borcu nedeniyle haklarında icra takibi başlatılan kişilere ilişkin
7 / 41007,20.02.2026,Mersin,Gülcan KIŞ,Ulaştırma Ve Altyapı Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Mersin'de bulunan TCDD'ye ait bir taşınmazın kira sözleşmesiyle ilgili iddialara ilişkin
7 / 5972,31.10.2023,Osmaniye,Asu KAYA,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Osmaniye'de mobil afet ve acil durum simülasyon tırının ulaştığı kişi sayısına ilişkin
7 / 3661,25.08.2023,Erzurum,Meral DANIŞ BEŞTAŞ,Sanayi Ve Teknoloji Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Erzurum ilindeki sanayi altyapısına ilişkin
7 / 39042,14.01.2026,Van,Gülderen VARLİ,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Antalya'da bulunan cezaevlerinde yaşandığı iddia edilen hak ihlallerine ilişkin
7 / 15107,12.08.2024,Tekirdağ,İlhami Özcan AYGUN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Ülke genelinde ve Trakya Bölgesinde yabancılara satılan meyve bahçeleri ve tarlalara ilişkin
7 / 40635,11.02.2026,Kocaeli,Ömer Faruk GERGERLİOĞLU,Dışişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Mısır'da cezaevinde olan bir Türk vatandaşının ülkemize getirilmesi talebine ilişkin
7 / 12277,14.05.2024,Mardin,Beritan GÜNEŞ ALTIN,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kürtçenin kamusal hizmetlerde kullanımına ilişkin
7 / 13893,10.07.2024,Diyarbakır,Ceylan AKÇA CUPOLO,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Diyarbakır'ın Suriçi bölgesinde yer alan tarihi PTT binasının kullanım hakkının devredildiği iddiasına ilişkin
7 / 34500,15.08.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2023-2025 yılları arasında üniversitelerdeki etkinliklere çağırılan sosyal medya fenomenlerine ilişkin
7 / 25859,14.03.2025,Ankara,Gamze TAŞCIER,Çalışma Ve Sosyal Güvenlik Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Üniversite idari personelinin tayin ve nakil hakkından yararlanmasına ilişkin
7 / 17734,04.10.2024,Bitlis,Hüseyin OLAN,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bitlis ilinin Hizan ilçesinin Derince köyüne İl Özel İdaresi tarafından yapılan hizmetlere ilişkin
7 / 11287,25.04.2024,Mardin,Kamuran TANHAN,Dışişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Erzincan L Tipi Kapalı Cezaevinden tahliye edilen yabancı uyruklu bir kişiyle ilgili iddialara ilişkin
7 / 36662,12.11.2025,İstanbul,Özgür KARABAT,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2026 yılı Merkezi Yönetim Bütçesine ilişkin
7 / 28506,22.05.2025,Van,Gülderen VARLİ,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Van'ın Saray ilçesinde bulunan sulama kanallarının temizlenmesine ilişkin
7 / 123,13.06.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,Çalışma Ve Sosyal Güvenlik Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir firma çalışanlarının çeşitli şikayetlerine ilişkin
7 / 19882,29.11.2024,İstanbul,Mehmet Satuk Buğra KAVUNCU,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Süresi Geçtikten Sonra Cevaplandı,COP29 İklim Zirvesi'ne katılan heyete ilişkin
7 / 35913,27.10.2025,Bartın,Aysu BANKOĞLU,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Zonguldak'ın Çaycuma ilçesinde yaşanan bir cinayet vakasının şüphelisine ilişkin
7 / 38945,09.01.2026,Niğde,Ömer Fethi GÜRER,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,2023-2025 yıllarında meydana gelen orman yangınlarına ilişkin
7 / 13125,13.06.2024,Hatay,Adnan Şefik ÇİRKİN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,6 Şubat 2023 tarihli Kahramanmaraş merkezli depremler sonrası depremzedelere verilen kira yardımlarının kesileceği iddiasına ilişkin
7 / 7464,15.12.2023,İstanbul,Doğan DEMİR,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Sigortacılık ve Özel Emeklilik Düzenleme ve Denetleme Kurumunun bir sigorta şirketi hakkında uyguladığı tedbir kararına ilişkin
7 / 10717,25.03.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Sakarya Açık Cezaevinde bulunan engelli bir mahkumun denetimli serbestlik hükümlerinden yararlandırılması talebine ilişkin
7 / 13890,10.07.2024,Aydın,Ömer KARAKAŞ,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Polis çevirmelerinde özel çekici ve otopark hizmetinden yararlanılmasına ilişkin
7 / 1398,06.07.2023,Mardin,Beritan GÜNEŞ ALTIN,Enerji Ve Tabii Kaynaklar Bakanlığı,Cevaplandı,Mardin'in Derik ilçesinde yaşanan elektrik kesintilerine ilişkin
7 / 39367,21.01.2026,İzmir,Sevda ERDAN KILIÇ,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Sayıştay'ın 2024 yılı Denetim Raporu'nda Emlak Katılım Varlık Kiralama A.Ş. ile ilgili yaptığı bazı tespitlere ilişkin
7 / 20126,06.12.2024,Karabük,Cevdet AKAY,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir suç örgütü davasının yurt dışındaki gizli tanığına ilişkin
7 / 23264,20.12.2024,Afyonkarahisar,Hakan Şeref OLGUN,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kütahya'nın Merkez ilçesinde Bakanlığın yaptığı çalışmalara ilişkin
7 / 36879,24.11.2025,Kocaeli,Lütfü TÜRKKAN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Kocaeli'de TOKİ vasıtasıyla yapılması planlanan sosyal konutlara ilişkin
7 / 31340,10.07.2025,Afyonkarahisar,Hakan Şeref OLGUN,Tarım Ve Orman Bakanlığı,Cevaplandı,Isparta ilinin Gönen ilçesinde şap hastalığı ile mücadeleye ilişkin
7 / 39777,29.01.2026,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Iğdır S Tipi Kapalı Cezaevinde bulunan bir mahkumun kötü muameleye maruz kaldığı iddiasına ilişkin
7 / 2442,28.07.2023,Ankara,Aliye TİMİSİ ERSEVER,Dışişleri Bakanlığı,Cevaplandı,"2020-2023 yılları arasında Bakanlık ile Bakanlığa bağlı, ilgili ve ilişkili kurum ve kuruluşlar tarafından kiralanan ve kiraya verilen gayrimenkullere ilişkin"
7 / 15356,15.08.2024,Niğde,Ömer Fethi GÜRER,Tarım Ve Orman Bakanlığı,Cevaplandı,Antep fıstığı üretimindeki azalmaya ilişkin
7 / 29770,24.06.2025,Muğla,Selçuk ÖZDAĞ,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,En İyi Narkotik Polisi: Anne projesine ilişkin
7 / 36792,19.11.2025,Zonguldak,Eylem Ertuğ ERTUĞRUL,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Zonguldak'ta bulunan Atatürk Devlet Hastanesinin eski binasının akıbetine ilişkin
7 / 31725,29.07.2025,Bingöl,Ömer Faruk HÜLAKÜ,Adalet Bakanlığı,Cevaplandı,Bakırköy Kadın Kapalı Cezaevinde bulunan bir mahkumun Adli Tıp Kurumuna sevkine ilişkin
7 / 22519,27.01.2025,Mardin,Salihe AYDENİZ,Sağlık Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Mardin Mazıdağı Devlet Hastanesinin personel ve fiziki kapasite eksikliğine ilişkin
7 / 27672,30.04.2025,Karabük,Cevdet AKAY,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,2018'den bu yana yakalanan uyuşturucu madde miktarına ilişkin
7 / 37786,17.12.2025,Çorum,Mehmet TAHTASIZ,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Konya'nın Karapınar ilçesinde kotasız ve kayıt dışı pancar ekildiği iddiasına ilişkin
7 / 35756,17.10.2025,Çanakkale,Özgür CEYLAN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Vatandaşlığa geçirilen ve askerlik çağına gelen mültecilere ilişkin
7 / 10340,01.03.2024,Aydın,Evrim KARAKOZ,Milli Savunma Bakanlığı,Cevaplandı,Bakanlık ile bağlı kurum ve kuruluşlarda yolsuzluk iddiası nedeniyle haklarında soruşturma yürütülen veya dava açılan çalışanlara ilişkin
7 / 18507,22.10.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kocaeli 2 Nolu F Tipi Kapalı Cezaevinde bulunan bir mahkumun kelepçeli tedavi edildiği iddiasına ilişkin
7 / 6180,08.11.2023,Hakkari,Vezir Coşkun PARLAK,İçişleri Bakanlığı,Cevaplandı,Hakkari Belediyesinin yaptığı personel alımlarına ilişkin
7 / 14419,19.07.2024,Ağrı,Heval BOZDAĞ,Sağlık Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Pandemi sürecinde uygulanan bir tedavi yöntemine ilişkin
7 / 5251,11.10.2023,Ankara,Kürşad ZORLU,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Aile sağlığı merkezlerinin güvenliğini sağlamak amacıyla alınan tedbirlere ilişkin
7 / 38207,19.12.2025,Ankara,Gamze TAŞCIER,Ticaret Bakanlığı,Cevaplandı,8 Kasım 2025’te Kocaeli’nin Dilovası ilçesinde bir fabrikada meydana gelen patlamayla ilgili soruşturmadaki bazı şüphelilere yeşil pasaport verildiği iddiasına ilişkin
7 / 18267,16.10.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Dışişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Yurt dışında yaşayan bir kadının kızına kimlik çıkartamadığı iddiasına ilişkin
7 / 36588,14.11.2025,Gaziantep,Hasan ÖZTÜRKMEN,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2025 yılında ithal edilen canlı hayvan sayısına ve karkas et miktarına ilişkin
7 / 4154,12.09.2023,Denizli,Yasin ÖZTÜRK,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,6360 sayılı Kanun'un yürürlüğe girdiği tarihten bu yana tarım alanı ve mera vasfını yitiren alanlar ile satışa çıkarılan 2B arazilerine ilişkin
7 / 28843,27.05.2025,Tekirdağ,Selcan TAŞCI,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bir siyasi partinin genel başkanının güvenlik korucularıyla ilgili açıklamasına ilişkin
7 / 27880,07.05.2025,Ankara,Semra DİNÇER,Enerji Ve Tabii Kaynaklar Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Muğla'da bulunan Akbelen Ormanındaki kömür rezervi miktarına ilişkin
7 / 39505,23.01.2026,Kocaeli,Lütfü TÜRKKAN,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Vakıfbank personelinin kurduğu vakıflara ait bir şirketin gerçekleştirdiği bir ortaklığa ilişkin
7 / 26499,09.04.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,İzmir 2 Nolu F Tipi Cezaevinde bulunan bir mahkumun tedavi edilme talebine ilişkin
7 / 37008,26.11.2025,Bitlis,Semra ÇAĞLAR GÖKALP,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Kadına yönelik şiddet ile mücadeleye ilişkin
7 / 38437,30.12.2025,Zonguldak,Deniz YAVUZYILMAZ,Enerji Ve Tabii Kaynaklar Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2024 yılında kapasite mekanizması kapsamında elektrik santrallerine ödenen ücrete ilişkin
7 / 24045,12.02.2025,Yozgat,İbrahim Ethem SEDEF,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Yozgat'ın Yerköy ilçesine bağlı Saray köyünde bulunan Çapanoğlu Camii'nin restore edilmesi talebine ilişkin
7 / 34275,23.09.2025,İstanbul,Özgür KARABAT,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,6 Şubat 2023 tarihli depremlerden etkilenen illerde verilen sağlık hizmetine ilişkin
7 / 37654,11.12.2025,Şanlıurfa,Mahmut TANAL,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Şanlıurfa'nın Birecik ilçesinde yaşanan ulaşım altyapısı sorununa ilişkin
7 / 37664,15.12.2025,İstanbul,Turan Taşkın ÖZER,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Son beş yıl içerisinde 6136 Sayılı Kanun'a muhalefet suçundan yargılanan çocuk sayısına ilişkin
7 / 36817,20.11.2025,Manisa,Şenol SUNAT,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Manisa'nın Kula ilçesine bağlı Gökçeören Mahallesi'nde açılması planlanan taş ocağının çevresel etkilerine ilişkin
7 / 22633,18.12.2024,Afyonkarahisar,Hakan Şeref OLGUN,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Afyonkarahisar'ın Dazkırı ilçesinde Bakanlığın yaptığı çalışmalara ilişkin
7 / 27548,25.04.2025,Diyarbakır,Serhat EREN,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Sincan 1 ve 2 Nolu Yüksek Güvenlikli Cezaevlerinde yaşandığı iddia edilen hak ihlallerine ilişkin
7 / 11068,17.04.2024,İzmir,Mustafa BİLİCİ,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,İzmir'de yer alan Tahtalı Barajı'nın doluluk oranına ilişkin
7 / 36389,07.11.2025,Diyarbakır,Ceylan AKÇA CUPOLO,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Burdur Yüksek Güvenlikli Cezaevinde bulunan bir mahkumun sağlık durumuna ilişkin
7 / 39507,26.01.2026,İzmir,Sevda ERDAN KILIÇ,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Ülke genelinde bankalara borçlu çiftçi sayısına ilişkin
7 / 40533,05.02.2026,Diyarbakır,Serhat EREN,Gençlik Ve Spor Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bir futbol kulübüne ve kulüp başkanına verilen cezaya ilişkin
7 / 6722,28.11.2023,İzmir,Murat BAKAN,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kırmızı bültenle aranan bir şahsın Türk vatandaşlığı almasına ilişkin
7 / 32449,13.08.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Seydikemer T Tipi Kapalı Cezaevinde bulunan bir mahkumun sağlık durumuna ilişkin
7 / 20205,06.12.2024,Uşak,Ali KARAOBA,Sanayi Ve Teknoloji Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bakanlık bünyesindeki engelli çalışanlara ve engelli yöneticilere ilişkin
7 / 35520,20.10.2025,Kars,İnan Akgün ALP,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kars Belediyesi tarafından engelli vatandaşlara sunulan hizmetlere ilişkin
7 / 9328,08.02.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Diyarbakır Cezaevinde yaşandığı iddia edilen hak ihlallerine ilişkin
7 / 39529,23.01.2026,Ankara,Ahmet Eşref FAKIBABA,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Aile hekimlerinin sorunlarına ilişkin
7 / 5598,19.10.2023,Adana,Orhan SÜMER,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,İntihar eden bir üniversite öğrencisine ilişkin
7 / 42347,25.03.2026,Ağrı,Heval BOZDAĞ,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Patnos L Tipi Kapalı Cezaevinde yaşanan içme suyu sorununa ilişkin
7 / 19968,03.12.2024,Amasya,Reşat KARAGÖZ,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Amasya'da 2002-2024 yılları arasında kanser teşhisi konulan kişi sayısına ilişkin
7 / 3568,29.08.2023,Çorum,Mehmet TAHTASIZ,Aile Ve Sosyal Hizmetler Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Engellilere verilen desteklere ilişkin
7 / 137,13.06.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplandı,Mimarların istihdamına ilişkin
7 / 4050,06.09.2023,Şanlıurfa,Mahmut TANAL,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplandı,Şanlıurfa ili Ceylanpınar ilçesi Özbek Mahallesi'nde bulunan bir okulun depreme dayanıklılığına ilişkin
7 / 1332,03.07.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir kripto para firması tarafından dolandırılan bir kişiye ilişkin
7 / 29391,17.06.2025,Muğla,Selçuk ÖZDAĞ,Gençlik Ve Spor Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bakanlığın uyuşturucu ile mücadele konusunda yürüttüğü çalışmalara ilişkin
7 / 22449,23.01.2025,Kocaeli,Lütfü TÜRKKAN,Milli Savunma Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bakanlığın bir dava sonucu ödediği tazminatı geri talep etmesine ilişkin
7 / 37877,18.12.2025,Hakkari,Onur DÜŞÜNMEZ,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Hakkari Derecik Devlet Hastanesindeki uzman doktor ihtiyacına ilişkin
7 / 31501,14.07.2025,Sakarya,Ümit DİKBAYIR,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Sosyal medya üzerinden şehit ailelerine yönelik yapılan hakaret içerikli paylaşımlara karşı alınan önlemlere ilişkin
7 / 14219,11.07.2024,Bursa,Hasan ÖZTÜRK,Gençlik Ve Spor Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,2024 Avrupa Futbol Şampiyonası için TFF tarafından Almanya'ya götürülen kişilere ilişkin
7 / 15954,03.09.2024,Mersin,Mehmet Emin EKMEN,Hazine Ve Maliye Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Defterdarlık Uzman Yardımcılığı Giriş Sınavı sonucunda yapılan mülakatla ilgili iddialara ilişkin
7 / 23914,11.02.2025,Muğla,Selçuk ÖZDAĞ,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Kamu görevlilerine tahsis edilen lojmanlara ilişkin
7 / 42357,24.03.2026,Şanlıurfa,Mahmut TANAL,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,22 Mart 2026 tarihinde Şanlıurfa'da meydana gelen yoğun yağış nedeniyle yaşanan su baskınlarına ilişkin
7 / 7730,22.12.2023,Diyarbakır,Serhat EREN,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Alanya L Tipi Kapalı Cezaevinde bulunan bir mahkumun denetimli serbestlik hükümlerinden yararlandırılmadığı iddiasına ilişkin
7 / 34447,30.09.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Menemen R Tipi Kapalı Cezaevinde hayatını kaybeden bir mahkuma ilişkin
7 / 3517,22.08.2023,Mardin,Kamuran TANHAN,Ulaştırma Ve Altyapı Bakanlığı,Cevaplandı,Mardin'in Derik ilçesinde 20 Ağustos 2022 tarihinde meydana gelen trafik kazalarına ilişkin
7 / 19285,14.11.2024,Niğde,Ömer Fethi GÜRER,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Niğde ili Alay Belediyesinin taşıt ihtiyacına ilişkin
7 / 29515,18.06.2025,Şanlıurfa,Mahmut TANAL,Adalet Bakanlığı,Cevaplandı,Şanlıurfa Viranşehir İcra Müdürlüğünde 2015'ten bu yana DEDAŞ'ın başlattığı icra takiplerine ilişkin
7 / 43854,27.04.2026,Afyonkarahisar,Hakan Şeref OLGUN,İçişleri Bakanlığı,15 Günlük Cevaplanma Süresi Devam Ediyor,Çarşı ve mahalle bekçilerinin çalışma saatleri ve devriye planlarına ilişkin
7 / 31660,25.07.2025,Bingöl,Ömer Faruk HÜLAKÜ,Milli Eğitim Bakanlığı,Cevaplandı,Bingöl'ün Adaklı ilçesine bağlı Erler köyündeki okulun tekrar faaliyete geçirilmesi talebine ilişkin
7 / 32411,07.08.2025,İstanbul,Özgül SAKİ,Başkan Numan KURTULMUŞ,Cevaplandı,Boşanma aşamasındaki eşi tarafından öldürülen TBMM personeli bir kadına ilişkin
7 / 41080,23.02.2026,Burdur,İzzet AKBULUT,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2023-2025 yılları arasında Burdur Mehmet Akif Ersoy Üniversitesi bünyesindeki Teknokent'te yer tahsisi yapılan firmalara ilişkin
7 / 10240,01.03.2024,İzmir,Mehmet Salih UZUN,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,KHK ile ihraç edildikten sonra verilen göreve iade kararına rağmen göreve başlatılmayan akademisyenlere ilişkin
7 / 35475,20.10.2025,Kars,İnan Akgün ALP,Enerji Ve Tabii Kaynaklar Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kars ilindeki enerji üretimi ve tüketimiyle ilgili çeşitli verilere ilişkin
7 / 41137,25.02.2026,Hatay,Nermin YILDIRIM KARA,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Hatay'da bir gazetecinin uğradığı saldırı hakkında yürütülen soruşturmaya ilişkin
7 / 19458,18.11.2024,İstanbul,Doğan BEKİN,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,İstanbul Zeynep Kamil Kadın ve Çocuk Hastalıkları Eğitim ve Araştırma Hastanesinde rahim ağzı kanseri taramaları için gerekli olan kitlerin bulunamadığı iddiasına ilişkin
7 / 33989,18.09.2025,Uşak,Ali KARAOBA,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Uşak'ta sağlık çalışanlarına yönelik gerçekleşen saldırılara ilişkin
7 / 39436,22.01.2026,İzmir,Hüsmen KIRKPINAR,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Pestisit tespit edilmesi sebebiyle ülkemize iade edilen ihracat ürünlerine ilişkin
7 / 37099,27.11.2025,Burdur,İzzet AKBULUT,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Burdur'un Bucak ilçesinde gerçekleştirilmesi planlanan Taşyayla Köyü Göleti Projesi'nin akıbetine ilişkin
7 / 473,13.06.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,Çalışma Ve Sosyal Güvenlik Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,İşine son verilen bir işçinin kıdem tazminatının ödenmediği iddiasına ilişkin
7 / 11766,09.05.2024,Osmaniye,Asu KAYA,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,MESEM aracılığıyla çalıştırılan öğrencilere ve gerçekleşen iş kazalarına ilişkin
7 / 17486,11.10.2024,Aydın,Süleyman BÜLBÜL,Gençlik Ve Spor Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2024-2025 eğitim-öğretim yılında KYK yurtlarına başvuran öğrenci sayısına ilişkin
7 / 15971,04.09.2024,İzmir,Seda KÂYA ÖSEN,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bakanlık bünyesinde yapılan görevde yükselme sınavına ilişkin
7 / 11676,09.05.2024,Hatay,Nermin YILDIRIM KARA,Aile Ve Sosyal Hizmetler Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2023'te Kahramanmaraş ve Hatay'da gerçekleşen depremler sonrasında kayıp durumda olan kişilere ilişkin
7 / 4343,18.09.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Düzce T Tipi Kapalı Cezaevinde bulunan bir mahkumun sağlık durumuna ilişkin
7 / 34837,08.10.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Erzincan Yüksek Güvenlikli Cezaevinde bulunan bir mahkumun nakil talebine ilişkin
